ciudad,edad,poblacion,casos,edad.cont
Fredericia,40-54,3059,11,47
Fredericia,55-59,800,11,57
Fredericia,60-64,710,11,62
Fredericia,65-69,581,10,67
Fredericia,70-74,509,11,72
Fredericia,>75,605,10,75
Horsens,40-54,2879,13,47
Horsens,55-59,1083,6,57
Horsens,60-64,923,15,62
Horsens,65-69,834,10,67
Horsens,70-74,634,12,72
Horsens,>75,782,2,75
Kolding,40-54,3142,4,47
Kolding,55-59,1050,8,57
Kolding,60-64,895,7,62
Kolding,65-69,702,11,67
Kolding,70-74,535,9,72
Kolding,>75,659,12,75
Vejle,40-54,2520,5,47
Vejle,55-59,878,7,57
Vejle,60-64,839,10,62
Vejle,65-69,631,14,67
Vejle,70-74,539,8,72
Vejle,>75,619,7,75
