PM10;PM2.5;VeL_Viento;Temperatura;Humedad;Rad_Solar;Lluvia
166;115;2;26,6;67,3;0;0
95;55;1,3;26,1;69,4;0;0
50;25;2,4;25,7;70,2;0;0
51;27;1,7;25,2;73,1;0;0
58;22;2,1;24,9;75;0;0
54;16;1,4;24,5;76,9;0;0
51;17;2,9;24,1;77,2;5,4;0
52;22;1,6;24,3;78;80,4;0
41;17;1,2;26,3;69;191,9;0
35;11;1,6;28,7;59;289,9;0
36;13;2,4;30,3;52,4;329,1;0
25;16;1,7;31,9;45,5;422,7;0
31;11;2,9;33,5;39,9;405,2;0
43;18;2,8;34,7;35,5;358,4;0
40;15;2,8;35,1;33;227,4;0
42;14;2,7;35,1;34;181,4;0
43;12;6,8;34,2;37,8;103,1;0
37;7;6,1;32,1;42,2;13,3;0
39;18;4,8;30,8;46,4;0;0
55;11;2,3;29,6;53;0;0
42;17;2,9;28,3;58,5;0;0
23;6;1,9;27,1;62,3;0;0
31;6;1,1;27,7;59,4;0;0
28;14;3,2;27;63,8;0;0
29;8;1,9;26,4;65,9;0;0
21;14;2,3;26,2;66,7;0;0
21;16;1,8;26;65,7;0;0
22;14;1,5;26;66,3;0;0
31;12;1,6;25,5;70,3;0;0
34;16;1,3;25,3;72,3;0;0
31;9;2,2;24,2;79,2;0;0
31;13;0,8;24;81,2;9,4;0
29;17;2;24,3;80,2;85,2;0
34;19;2,3;25,7;76,5;179,5;0
33;14;3,8;26,4;73,1;118,9;0
31;10;1;27,4;67,8;261,5;0
27;12;1,5;29,2;58,3;295,8;0
29;9;4,2;31,1;51;340,8;0
28;17;3,9;31;49,8;235,3;0
28;13;2,3;31,6;47,3;172,3;0
25;13;2,4;31,2;47,1;70,4;0
29;11;2,3;30,3;51,1;24,9;0
25;7;3,3;29,7;50,9;0;0
50;10;2;28,5;59;0;0
42;18;0,5;25,9;77,8;0;0
41;11;2,8;25,5;77,9;0;0
27;10;0,5;25;78,9;0;0
31;13;0,5;25;78,1;0;0
19;8;2,9;24,6;76,9;0;0
25;6;2,2;23,5;77,1;0;0
17;3;2,4;22,8;80,9;0;0
16;5;1,7;22,7;83;0;0
27;5;2,4;22,7;82,1;0;0
33;5;2,4;22,6;81,2;9;0
38;16;1,4;24,9;73,8;199,5;0
25;7;2,1;30,5;51,1;385,6;0
30;6;2,2;31,6;47,4;341,8;0
33;15;0,9;32,5;42,4;346,1;0
35;18;1,9;33,5;39,7;212,7;0
37;21;2,7;34,2;37,6;224;0
24;6;4,9;33,9;38;136,1;0
32;3;6,2;31,4;44,1;14,6;0
28;4;6,4;29,9;48,1;0;0
27;8;3,6;29,7;48,8;0;0
20;7;4,4;25,2;73,4;0;0
27;8;1,7;25;76,4;0;0
23;6;2,8;24,7;77,6;0;0
33;5;1,7;24,3;80,3;0;0
34;9;1,7;24,6;79,5;0;0
30;8;2,8;24,4;81,3;0;0
21;8;1,9;23,8;84,9;0;0
17;21;0,8;24;84,6;0;0
45;8;2,3;24;84,9;14,8;0
46;19;1,8;24,3;83,8;58,5;0
44;20;2,6;25,2;80,2;68;0
34;9;0,9;27,4;67,7;288,9;0
22;5;2,1;28,9;59,6;225,6;0
35;10;3,4;29,5;56,5;115,3;0
43;15;3;29,8;53,1;71,8;0
42;9;3,2;29,1;53,6;19,7;0
46;8;2,8;28;58,7;0;0
84;36;1,9;27,1;63,1;0;0
55;13;2,2;26,1;68,5;0;0
58;20;1;26;69,7;0;0
51;15;2,7;25,4;73,1;0;0
42;14;1,8;24,6;75,7;0;0
48;20;1,3;24,4;76,1;0;0
44;10;2,9;23,6;77,8;0;0
29;9;0,8;23,3;80,5;0;0
35;11;1,2;22,9;81,9;0;0
50;20;2,2;23;81,8;0;0
54;23;2,8;22,9;81,4;0;0
66;18;2,2;23,5;79,9;38,6;0
45;14;0,1;24,2;75,9;75,9;0
56;18;2,3;26,2;68,5;249,5;0
53;25;2,6;28,7;58,7;359,9;0
39;19;2,2;30,1;52,5;403,2;0
31;12;2,8;32,3;44;418,4;0
33;15;3,9;33,3;39,4;369,8;0
32;11;2,6;33,9;38,1;277,4;0
44;16;2,9;34;37,7;230,3;0
38;1;7,3;33,9;36,1;136,9;0
26;7;6,8;31,8;40,6;21,4;0
32;6;7;30,3;46;0;0
49;15;2,1;29,2;51,5;0;0
40;10;2,2;28;58,4;0;0
38;8;1,9;27;63,2;0;0
38;6;0,7;27;63,6;0;0
28;10;5;27,7;60,5;0;0
28;15;2,2;26,3;67,5;0;0
23;8;1,2;25,9;69,3;0;0
30;21;1;26,2;67,5;0;0
29;3;1,4;25,4;72,1;0;0
33;5;3,2;25,1;75,1;0;0
28;9;1,5;24,6;77,6;0;0
27;6;1,4;24,5;79,8;12,8;0
23;2;2,6;24,5;81,6;38,1;0
25;6;2,6;24,7;82,4;51,8;0
27;11;2,3;24,8;83;100,8;0
41;17;1,7;26,1;77,1;182,9;0
30;4;2,1;28;66,6;381;0
15;4;1,6;30;55,2;322,9;0
39;8;2,2;31;50,9;223,4;0
42;20;5;30,7;51,6;148,3;0
43;16;4,5;31,1;49,7;102;0
38;9;3,8;30,1;53,6;11,7;0
30;6;4,2;28,9;53,8;0;0
49;10;1,6;28,1;58,3;0;0
41;11;3,1;26,6;66,1;0;0
58;24;2,9;25,6;70,2;0;0
38;18;2,7;25,7;69,3;0;0
28;17;2,4;25,1;72,5;0;0
22;6;0,2;25,1;72;0;0
29;6;3,4;25,3;72,6;0;0
31;9;1,7;24,7;75,7;0;0
34;8;0,8;24,3;78,4;0;0
50;20;2,1;24,2;79,5;0;0
43;9;1,5;24,3;80,4;7,1;0
54;13;1,8;24,7;80,1;20,6;0
126;19;2,7;25,2;77,8;57,5;0
50;7;2,9;26,3;70,9;129,1;0
40;9;1,3;28,3;62,2;355,4;0
36;9;2,3;30,2;53,4;295,8;0
42;17;1,4;31,2;50,3;421;0
43;8;0,9;32,7;43,7;376,9;0
44;27;2,3;33,3;40,4;284,5;0
53;14;3;32,7;42,2;77,8;0
49;11;4,7;31,9;44,1;21,8;0
40;10;5,2;30,9;46;10,7;0
44;14;4,3;30;49,1;0;0
62;16;1,8;28,6;55,7;0;0
56;21;2,9;27,5;62,2;0;0
53;11;3,5;26,7;66;0;0
45;10;2;27;65,8;0;0
51;10;2,5;26,5;68,7;0;0
34;8;2,7;26,2;70;0;0
21;7;1,7;25,9;70,1;0;0
33;4;0,5;26;70,1;0;0
29;3;2,5;25,1;73,5;0;0
53;10;2,3;24,7;76,8;0;0
43;14;1,9;24,7;76,8;0;0
51;10;2,3;25;75,9;9;0
67;12;1,2;25,8;73,3;43,6;0
55;19;0,8;26,4;70,4;77,4;0
