"","VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"1",2,2023-01-04 16:45:53,2023-01-04 17:00:24,2,3.38,1,"N",230,263,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
"2",2,2023-01-11 13:49:07,2023-01-11 13:58:45,1,1.04,1,"N",163,142,2,10,2.5,0.5,0,0,1,16.5,2.5,0
"3",2,2023-01-21 23:14:17,2023-01-21 23:22:19,2,1.79,1,"N",79,170,1,10.7,1,0.5,0,0,1,15.7,2.5,0
"4",2,2023-01-24 08:33:41,2023-01-24 08:44:57,1,1.39,1,"N",234,246,1,12.1,0,0.5,3.22,0,1,19.32,2.5,0
"5",2,2023-01-15 19:41:45,2023-01-15 19:51:30,1,2.91,1,"N",141,100,1,13.5,1,0.5,4.62,0,1,23.12,2.5,0
"6",2,2023-01-18 09:34:22,2023-01-18 09:51:21,1,2.45,1,"N",107,43,1,17.7,0,0.5,4.34,0,1,26.04,2.5,0
"7",2,2023-01-20 19:05:54,2023-01-20 19:13:44,1,1.09,1,"N",79,148,1,9.3,1,0.5,2,0,1,16.3,2.5,0
"8",2,2023-01-04 13:37:29,2023-01-04 13:52:53,1,2.67,1,"N",237,41,2,14.9,2.5,0.5,0,0,1,21.4,2.5,0
"9",2,2023-01-05 18:12:16,2023-01-05 18:41:19,1,24.28,1,"N",132,235,1,89.1,1,0.5,19.63,6.55,1,119.03,0,1.25
"10",2,2023-01-12 07:51:34,2023-01-12 08:00:16,1,0.9,1,"N",162,161,1,10,0,0.5,2.8,0,1,16.8,2.5,0
"11",2,2023-01-16 11:04:38,2023-01-16 11:20:01,1,5.93,1,"N",88,161,1,26.1,0,0.5,6.02,0,1,36.12,2.5,0
"12",1,2023-01-17 07:56:34,2023-01-17 08:00:00,1,0.5,1,"N",262,236,1,5.8,2.5,0.5,1.2,0,1,11,2.5,0
"13",2,2023-01-13 11:38:54,2023-01-13 11:44:06,2,0.72,1,"N",238,238,1,6.5,2.5,0.5,2.6,0,1,15.6,2.5,0
"14",2,2023-01-07 12:51:09,2023-01-07 13:04:19,1,4.08,1,"N",140,79,1,19.8,0,0.5,2.2,0,1,26,2.5,0
"15",2,2023-01-14 03:32:31,2023-01-14 03:38:50,1,1.12,1,"N",100,246,1,8.6,0,0.5,2.52,0,1,15.12,2.5,0
"16",2,2023-01-31 03:13:22,2023-01-31 03:21:35,1,1.13,1,"N",236,238,1,9.3,0,0.5,2.66,0,1,15.96,2.5,0
"17",2,2023-01-26 15:59:53,2023-01-26 16:08:25,1,0.96,1,"N",144,232,1,9.3,1,0.5,0,0,1,14.3,2.5,0
"18",2,2023-01-22 06:50:57,2023-01-22 06:57:33,1,1.52,1,"N",263,162,1,9.3,0,0.5,2.66,0,1,15.96,2.5,0
"19",1,2023-01-11 16:00:59,2023-01-11 16:31:14,1,19.3,2,"N",132,236,1,70,3.75,0.5,11,6.55,1,92.8,2.5,1.25
"20",1,2023-01-14 11:05:12,2023-01-14 11:23:03,2,2.8,1,"N",239,41,2,17,2.5,0.5,0,0,1,21,2.5,0
"21",1,2023-01-13 01:59:05,2023-01-13 02:16:03,3,4.6,1,"N",132,130,2,21.2,1.25,0.5,0,0,1,23.95,0,1.25
"22",1,2023-01-24 11:07:54,2023-01-24 11:38:12,1,3.6,1,"N",140,151,1,27.5,5,0.5,6.8,0,1,40.8,2.5,0
"23",2,2023-01-11 00:24:18,2023-01-11 00:36:51,1,5.08,1,"N",132,139,1,22.6,1,0.5,5.02,0,1,31.37,0,1.25
"24",2,2023-01-20 17:43:07,2023-01-20 18:03:54,1,2.75,1,"N",100,144,2,19.8,1,0.5,0,0,1,24.8,2.5,0
"25",1,2023-01-12 11:20:42,2023-01-12 11:42:02,1,1.9,1,"N",161,107,1,19.1,5,0.5,5.1,0,1,30.7,2.5,0
"26",2,2023-01-25 14:50:41,2023-01-25 15:02:46,3,2.38,1,"N",79,164,1,14.2,2.5,0.5,4.14,0,1,24.84,2.5,0
"27",2,2023-01-16 05:15:54,2023-01-16 05:19:36,1,1.02,1,"N",162,237,2,6.5,0,0.5,0,0,1,10.5,2.5,0
"28",1,2023-01-30 06:55:19,2023-01-30 06:57:15,1,0.3,1,"N",236,236,2,4.4,2.5,0.5,0,0,1,8.4,2.5,0
"29",2,2023-01-15 16:06:59,2023-01-15 16:12:37,1,0.82,1,"N",137,107,1,7.2,1,0.5,1,0,1,13.2,2.5,0
"30",2,2023-01-11 03:41:49,2023-01-11 03:48:13,6,1.47,1,"N",170,113,1,9.3,0,0.5,2,0,1,15.3,2.5,0
"31",2,2023-01-31 10:20:41,2023-01-31 10:27:38,1,0.88,1,"N",107,113,1,7.9,0,0.5,2.38,0,1,14.28,2.5,0
"32",2,2023-01-27 19:09:30,2023-01-27 19:12:35,3,0.45,1,"N",80,255,1,5.1,1,0.5,1.14,0,1,8.74,0,0
"33",2,2023-01-21 15:28:06,2023-01-21 15:46:20,2,1.97,1,"N",79,68,1,17,1,0.5,3,0,1,25,2.5,0
"34",1,2023-01-26 18:26:40,2023-01-26 18:28:53,1,0.6,1,"N",246,246,1,5.1,3.5,0.5,2,0,1,12.1,2.5,0
"35",2,2023-01-06 18:49:15,2023-01-06 18:55:37,1,0.72,1,"N",4,148,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
"36",2,2023-01-10 17:27:09,2023-01-10 17:37:22,1,1.8,1,"N",142,237,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
"37",2,2023-01-01 13:17:31,2023-01-01 13:22:58,1,0.71,1,"N",234,186,1,7.2,0,0.5,2.24,0,1,13.44,2.5,0
"38",2,2023-01-18 15:18:35,2023-01-18 15:18:46,1,0,5,"N",265,264,1,250,0,0.5,0,0,1,251.5,0,0
"39",2,2023-01-16 17:37:29,2023-01-16 17:59:02,1,10.37,1,"N",138,143,1,41.5,6,0.5,5.93,6.55,1,65.23,2.5,1.25
