"","VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"1",2,2022-12-31 19:32:10,2022-12-31 19:40:36,1,0.97,1,"N",161,141,2,9.3,1,0.5,0,0,1,14.3,2.5,0
"2",2,2022-12-31 19:55:08,2022-12-31 20:01:27,1,1.1,1,"N",43,237,1,7.9,1,0.5,4,0,1,16.9,2.5,0
"3",2,2022-12-31 19:25:04,2022-12-31 19:37:49,1,2.51,1,"N",48,238,1,14.9,1,0.5,15,0,1,34.9,2.5,0
"4",1,2022-12-31 19:03:48,2022-12-31 19:13:25,0,1.9,1,"N",138,7,1,12.1,7.25,0.5,0,0,1,20.85,0,1.25
"5",2,2022-12-31 19:10:29,2022-12-31 19:21:19,1,1.43,1,"N",107,79,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
"6",2,2022-12-31 19:50:34,2022-12-31 20:02:52,1,1.84,1,"N",161,137,1,12.8,1,0.5,10,0,1,27.8,2.5,0
"7",2,2022-12-31 19:09:22,2022-12-31 19:19:49,1,1.66,1,"N",239,143,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
"8",2,2022-12-31 19:27:12,2022-12-31 19:49:56,1,11.7,1,"N",142,200,1,45.7,1,0.5,10.74,3,1,64.44,2.5,0
"9",2,2022-12-31 19:21:44,2022-12-31 19:36:40,1,2.95,1,"N",164,236,1,17.7,1,0.5,5.68,0,1,28.38,2.5,0
"10",2,2022-12-31 19:39:42,2022-12-31 19:50:36,1,3.01,1,"N",141,107,2,14.9,1,0.5,0,0,1,19.9,2.5,0
"11",2,2022-12-31 19:53:01,2022-12-31 20:01:45,1,1.8,1,"N",234,68,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
"12",1,2022-12-31 19:43:37,2022-12-31 20:17:18,4,7.3,1,"N",79,264,1,33.8,3.5,0.5,7.75,0,1,46.55,2.5,0
"13",2,2022-12-31 19:34:44,2022-12-31 20:04:25,1,3.23,1,"N",164,143,1,26.1,1,0.5,6.22,0,1,37.32,2.5,0
"14",2,2022-12-31 19:09:29,2022-12-31 19:29:23,2,11.43,1,"N",138,33,1,44.3,6,0.5,13.26,0,1,66.31,0,1.25
"15",2,2022-12-31 19:33:53,2022-12-31 19:49:15,1,2.95,1,"N",33,61,1,17.7,1,0.5,4.04,0,1,24.24,0,0
